overall,food,service,ambience,review
5,5,5,5,"Amazing experience from start to finish. The quality and presentation of the food was excellent and our server was very professional and personable.  We really enjoyed everything about the 1770 house and it鈥檚 staff.  And to top it off, after a memorable meal we loved sitting in the great room in front of the fire."
5,5,5,5,Serene and lovely restaurant in a classic inn. Food impeccable. Service charming  and unobtrusive.  Wine list excellent with many reasonably priced bottles.
5,5,5,5,"Outstanding dining experience. Came as a group of 8 with a toddler and two young kids for a birthday. The service was excellent and very accommodating of the children. The food was terrific, and we sampled justed about everything. I highly recommend 1770 House to celebrate any memorable event. A wonderful evening"
5,5,5,5,"I have been dying to try the 1770 House for years .. What an amazing meal! The service was impeccable and the staff friendly, knowledgeable and professional.  We were in the Tavern, as I wanted to try the meatloaf. I made this recipe from Ina Garten and thought it was delicious! So we went to the source 馃榿 the oysters in the half shell were fresh and tasty with the mignonette sauce. Dessert was just perfect, we had warm cider donuts with cinnamon icecream and pumpkin creme brulee.  Along with the quant ambiance, an all around amazing experience! Looking forward to our next visit!"
4,4,5,5,"Excellent wines by the glass. Seafood dishes (local fluke tartare and sea scallops) highly recommendable, unremarkable green salad and slightly overcooked chitarra pasta with meatballs that were good, but not more. Very friendly and competent service, cozy ambiance."
5,5,5,5,"1770 House is always excellent.  Some standard menu items are as reliable as one would wish.  There are also delicious surprises lurking, well worth trying.  Hard to avoid overeating!"
5,5,5,5,A totally professional restaurant with the best cooked food
5,5,5,5,"Everything was outstanding.  One of the best dining experiences since I moved here in June. Perfectly attentive waitstaff. Warm, expansive welcome. Historical interior and beautifully landscaped exterior. Entrees delectably cooked and presented with visual panache. Is our new go-to for special occasions."
5,5,5,5,"Always a lovely and delicious experience. A beautiful setting, attentive wait staff and wonderfully prepared food"
4,5,3,4,"Table was not ready, had to wait approximately 20mins (like everyone else). Service was mechanical"
3,4,2,3,"The manager Michael Cohen was very unprofessional and rude when we asked him to lower the AC which was on our face. Other than him the staff is fine.This is good place that should cater to their customers, the manager doesn鈥檛 have a clue."
5,5,5,5,"1770 has been our 鈥済o-to鈥 restaurant on the East End for many years now. Fabulous ambiance, food, and service."
5,4,5,5,"Great service. Exceptional...we had the lovely young man with the great radio voice. Food was good. Although I was still hungry afterwards. :) We has the matcha creme br没l茅e which was the only gluten free option. We enjoy it, didn鈥檛 leave any food uneaten. The mixed greens salad was super basic, only greens a few cherry tomatoes and dressing."
3,5,5,2,Amazing food .Amazing service. Just a bit too stuffy in the main dining room. Felt like we couldn鈥檛 relax . Tavern needs it鈥檚 own separate reservation and was not aware .
5,5,4,5,"1770 never disappoints. After all the restaurants have come and gone, 1770 still has the best food in town. My favorite destination!"
5,5,5,5,Excellent. Fluke is not to be missed as an appetizer. Scallops were excellent as well asthe service. Great classy place.
5,5,5,5,"Outstanding, as always!  Carol, you are doing such a first rate job.  Our (consistently) favorite restaurant i the Hamptons."
5,5,5,5,"Everything was lovely. Service excellent, the drinks were perfectly crafted. Dinner was delicious and we were not rushedWaiter very kind and patient with great sense of humor especially when I accidentally insulted him."
5,5,5,5,Always excellent. Food is consistently perfect and a nice blend of seasonal items and favorites
5,5,5,5,"Amazing food and experience! We will definitely come back, can鈥檛 recommend enough!"
5,5,5,5,"This was, far and away, the best meal I have ever eaten.  I would recommend it to anyone to mark a special occasion. The wait staff was knowledgeable and attentive.  Every detail was perfect - and delicious!"
5,4,5,5,My favorite restaurant of all time. I have been there tons of times and am never dissapoonted!
5,5,5,5,It is a dining experience not just any lunch or dinner out. Everything my friend and I sampled was like a party in your mouth. Awesomely delicious!
5,5,5,5,Another incredible meal and experience can鈥檛 wait to come back. Everything was perfect from start to finish. Our friends said it truly tasted like so much care was put into each and every bite.  Spectacular!
4,5,5,2,The food was fabulous. The wait staff very polite and efficient. The noise level was awful. Conversation was made with much effort. Sometimes we could not hear the description of the food the waitstaff was saying. If I go again it would be at an off peak time so we could enjoy each other鈥檚 company as well as the wonderful  food.
5,5,4,5,"I love the full experience.  Each item on the menu has a unique combination of seasonal flavors.  Everything is special.  The staff are very knowledgeable.  And, the restaurant and menu are sensitive to dietary restrictions (gluten-free, in my case) - with many choices that work."
5,5,5,5,The food was amazing. The menu has a great variety to suit every taste. Service is excellent. Our server was very personable and helpful. Fine dining in a warm and cozy setting. Perfect for any special celebration. I can鈥檛 wait to go back!
5,5,5,5,"Service was impeccable. Food was fantastic, I dined on the Grilled Prime Strip Steak with Black Garlic Crust prepared Medium Rare best I ever had. My significant other ordered the Rohan Duck Breast Glazed with Apple Cider Syrup prepared Medium Rare cooked just right. The comment was would order that again. We shared the Valrhona Chocolate Trio. Compliments to all the staff."
5,5,5,5,Loved it! The entire experience was amazing!
5,5,5,5,Best restaurant in Connecticut period. Congratulations.
5,5,5,4,"2nd visit. The food is outstanding, and in most cases, different from what you might normally experience at a high-end restaurant in Litchfield County CT. Arethusa is is on a par with the best in NYC. We were seated immediately at the time of the reservation. We shared Beausoleil oysters from New Brunswick, that were excellent. Wife had their vegetarian ravioli, which was terriffic and I had the short ribs, also wonderful.This is a loud space, but there was sufficeint space between tables so much of the sound became background noise. Service was very attentive and knowledgeable. We'll be going back!"
5,5,5,5,Amazing food and lovely lunch!
5,5,5,5,"Excellent food as always, friendly atmosphere and a leisurely meal with dear friends."
5,5,5,2,The quality of the food was incredible. The service was impeccable. Price for lunch was very expensive
5,5,5,5,Everyone was very accommodating and the food was delicious. All the servers were knowledgeable about the menu and made excellent recommendations. We will definitely be dining here again!
4,3,5,5,This was our first time at this restaurant. We drove an hour to get to the restaurant as we heard this was an amazing place. The octopus and arugula salad were very good.  My husband ordered the steak which was very average. I got scallop which was very good. We for the fall desert which we didn鈥檛 like at all. The service was excellent though. I don鈥檛 think we will go there again given the distance and good but not great food.
5,5,5,5,One of the best restaurants I鈥檝e been to! Everything was perfect.
5,5,5,5,"Our dinner at Arethusa al Tavolo was simply amazing.  The servers were wonderful, the food was fantastic, the ambiance was delightful.  I will be returning and would recommend to a friend/family member."
5,5,5,5,"We鈥檝e been here several times and each time the entire experience has been fantastic. This time we brought family to celebrate a birthday. As usual the food was outstanding with beautiful presentation. Everyone in our party raved about the food. In addition, the service was outstanding."
5,5,5,5,"We loved it!!  Food was excellent, beautiful display, loved the extras!  We look forward to going back soon."
5,5,5,5,I came from Kansas City to spend the weekend with my daughter who lives in New Haven. Enjoy a day of fall foliage and fine dining with a visit to the dairy farm. It felt like home.
5,5,5,5,As always a wonderful dining experience. Words can not do justice for the overall experience.
5,5,5,5,The staff and food were outstanding.  They made my birthday very special!
5,5,5,5,"This meal was a 鈥10鈥 on all accounts鈥 the taste, quality, presentation, and service. It was one of the best meals I鈥檝e had in my entire life. The one slight downside was the noise level in the room, but everything else was so fantastic we forgot about the noise. We will definitely be back when we want a very special dining experience."
5,5,5,4,"We were seated to a great table by the front window, the service was friendly and very attentive. The table next to ours was quite close and the party of three were very loud. The food however made up for the noise big time.  Presentation was artistic, the flavors perfect on the palate.  A delicious night."
5,5,5,5,We had an anniversary dinner at Arethusa al Tavolo and we had such a great experience.  The food was all amazing and we were very impressed with all the flavors of the dishes.  The butter alone was extremely good!  The service was excellent and they even gave us a handwritten card for our anniversary celebration.  We could definitely come back!
5,5,5,5,Our food was delicious and the service perfect.we will be back!
5,5,5,4,"Absolutely delicious! The gluten free bread is savory and fabulous, I totally loved the beet soup and short rib ravioli. Can鈥檛 wait to return!"
5,5,5,5,"Lovely evening - very pleasant, knowledgeable staff and fabulous food."
5,5,5,5,Overall amazing food and service. Highly recommend.
5,5,5,5,Everything was great the food and the staff were great.
5,5,5,5,"food is delicious and beautifully present, service very friendly, attentive and efficient."
5,5,5,5,Amazing food! Had the halibut and the hamachi. Both amazing
5,5,4,4,Probably the best meal I鈥檝e ever had in Connecticut. Congratulations.
5,5,3,5,"Meal from apps to dessert was fabulous. The chicken liver dumplings were absolutely delicious.  I also had the halibut entree which also was so so good. So many other dishes we want to try. We have always had the best service you could ask for here, but on Wednesday night, our waitress was just ok. We waited over 35 min for dessert and during that time she never came to our table to explain why. Very disappointing!! Acted like it was our problem."
5,5,5,4,Wonderful food and service! Can鈥檛 wait to go again and try something different. Food was excellently prepared and absolutely delicious.
5,5,5,5,"Went on a Sunday night. From the moment we walked in we were treated well. Staff were great in explaining the drink and food options. Given the great reviews, I expected a mis step. There were none. All the apps and mains were perfect. Scallops and salmon were cooked to perfection. Each item had its own flavor profile and didn鈥檛 take away from the protein. Manager was nice enough to warn me about the deer in the area. Can鈥檛 wait to return."
5,5,5,5,"We've already recommended Arethusa to others.  Consistently outstanding on all fronts.  Creative, delicious food, super attentive staff without being overbearing, clean kitchen...they just knocked it out of the park (again).Sorry for only giving it 4 out of 5 on the value metric.  That's because I'm a cheap SOB.  I will say that if you are going to pay a lot for a meal it better be memorable.  I recently had a number of expensive meals in Napa at notable restaurants and was unhappy with all of them...Arethusa is memorable and I have never come away unhappy.  Great job everyone."
5,5,5,5,"This is the best restaurant in the area.  The food, staff and service is above excellent.  I have never been disappointed and we go there often.  Brunch is especially good.  Highly recommend."
5,5,5,5,"My girlfriend and I came in on a busy Saturday night with reservations. My hope was that she would leave with me as my fianc茅e. I told the hostess my plan weeks in advance and she was very quick to accommodate anything I needed. When we arrived, the hostess took us to the best table in the house.  Our waitress鈥 knowledge was unparalleled and I knew we were in good hands.We had the large cheese board as an appetizer which was incredible. Every single sample was delicious and we wished we had a second board! For our main course my girlfriend chose the duck breast, and I went with the strip steak. We鈥檝e traveled extensively but let me tell you, this was one of the best steaks I鈥檝e ever had. The phrase 鈥渕elts in your mouth鈥 comes to mind. The duck was equally astonishing. For desert we shared Pumpkin ice cream. We鈥檙e regular patrons of both Arethusa鈥檚 ice cream shop and coffee shop, and this was the best ice cream we鈥檝e ever had!On top of all the great food we ordered, the chef kept adding complimentary goodies to try. Totally creative, delicious and very bold. We loved it. The service from the host to the food runners, the bussers to the the waitstaff, and the manager was superb. Everyone made their way to our table to converse, to help, and to show warmth and love throughout the evening. I can鈥檛 talk enough about how much it meant.After dinner, I got down on one knee and popped the question. The room filled with maybe 80 people suddenly stood quiet. All that was left were several cute whispers and gasps. She of course said yes and we were accompanied by a round of applause! It was a moment we鈥檒l remember for a lifetime. We chose Arethusa because we knew they鈥檇 be there for us. They completely outdid themselves."
5,5,5,5,Amazing. I will Definately visit again.
5,5,5,4,Amazing food
5,5,5,5,"Top class food , every dish was as good as the last couldn鈥檛 choose which was my favourite. Service was faultless made to feel right at home and not a stone left unturned. A special meal"
5,5,5,5,excellent experience
5,5,5,5,The food is impeccable as is the service and ambiance. It is well worth the time and money.
5,5,5,5,"Amazing friendly service, the best langoustine and tenderloin ever, and great music! Had such a great time with my friends! Can't wait to go back again."
5,5,5,5,A truly great meal
5,5,5,5,"Atera鈥檚 experience is always outstanding, warm and memorable... it鈥檚 what 3 michelin stars should be but even better... by far the best restaurant in NYC"
5,5,5,5,"We spent about 2.5 hours at the 9:30 seating last Saturday night.  Food was amazing -- highly creative cuisine,  absolutely delicious with lots of contrasts in flavor, texture, and temperature.  My wife and I each had our individual favorites, but there were no duds anywhere on the 16-course menu.  Presentations were beautifully composed, and the restaurant operates like a finely tuned machine.  Hard to imagine a better coordinated team.  This is arguably one of the best meals that we have ever had anywhere in the world.  We will definitely try to return next time we are in NYC."
5,5,5,5,"Absolutely amazing experience with, what felt like,  a chef's table dining.Each course unique and different making a favourite different to decide on.High levels of attentive staff pacing the 12 course tasting menu.Not cheap, but much better than  some long standing higher Michelin rated restaurants  and worth the money."
5,5,5,5,The service is sensational and the food is just as incredible.  The combinations of flavors and textures are wonderful.  They use the foods and flavors that are in season to keep everything fresh.  You get personal one on one attention from all the staff that really makes this place stand out and above from all the rest.
5,5,5,5,The food and whole experience was spectacular
5,4,5,3,The entire team led by Matthew and Rachel (along with another gentleman) did a superb job in helping us celebrate our special night out.  We enjoy returning every so often to see what changes have been made to the menu and were sad to hear that the tea ceremony/show was no longer available.  Excellent service and very good food.
5,5,5,5,"Phenomenal dining experience! Loved every dish - really creative cooking.Service was exceptional.They really want to please, and they did!Can't wait to go back."
5,5,5,5,Simply the best 2 stars with 3 stars experience! Perfect
5,5,5,5,"Outstanding best restaurant I鈥檝e been to in a long time! Same food quality if not better than Le Bernardin, Per Se, and definitely Eleven Madison Park. Plus the atmosphere is much less stuffy and more fun. Can鈥檛 wait to go again! Side tip for ladies: staff is hot. 5 stars!"
5,5,5,5,Celebrated my friend鈥檚 birthday and it was the perfect place to do it. Fantastic food and very welcoming crew! It鈥檚 like going to an opera and you get front row seats! You get to watch all the performers up close.
5,5,5,5,"Very well balanced menu, slick service and wonderful presentation. I would recommend it if you can get a reservation."
5,5,5,5,"Outstanding food, artistically presented, expertly served. Every aspect of the experience was perfect. Could not have been happier"
5,5,5,5,"Service, food, wine and presentation all above and beyond."
5,5,5,5,We went there for our anniversary.  They were incredibly accommodating and we had one of the best dinning experiences ever.  The food was impressively high quality and the service was nothing short of perfect.  We鈥檒l definitely be back.
5,5,5,5,Amazing experience!
5,5,5,5,Amazing food. Amazing service. Friendly down to earth staff.
5,5,5,5,Hands down the best restaurant in NYC right now.
5,5,5,5,One of the best restaurants in NYC. Fantastic wine list. Well paced. Flawless service. Outstanding.
5,5,5,5,Dinner was amazing!!! Great service and excellent creative dishes!!! I highly recommend it!! We all loved it!!
5,5,5,5,"Second visit to Atera and we will be back every time in NYC.  The food, service and ambiance is wonderful.  All of the staff is very helpful and attentive."
5,5,5,5,"Dinner here wasn鈥檛 just a meal, it was an experience of a lifetime. From the depth of flavors, different textures, and presentation, every detail was that of art. If you鈥檝e ever been curious to know what poetry would taste like, Chef Ronny can plate that for you lol Big thanks to everyone at Atera for welcoming me and providing me with memories that I will cherish forever."
5,5,5,5,Best of the Best.
5,5,5,5,Everything was perfect!
5,5,5,5,3rd time at Atera and it was great as it always has been. We were celebrating my wife鈥檚 40th birthday and I isn鈥檛 want to take a chance with another restaurant that we hadn鈥檛 been to. Every dish was great and the Uni/egg/truffle dish was spectacular. Little touches like them remembering it was her birthday and the fact that they played the song I requested were also greatly appreciated. Would recommend Atera to anyone looking for a really top-notch dining experience!
5,5,5,5,Ronnie Emborg continues to deliver the goods with an excellent staff. Tried and true deliciousness
5,5,5,5,One of the best meals we have ever had in NYC!
5,5,5,5,Awesome dinner. Thanks
5,5,5,5,"Outstanding, in the top 3 restaurants in NY"
5,5,5,5,Culinary nirvana
5,5,5,5,"Fabulous fabulous food, wonderful service, brilliant wine list.  This restaurant is outstanding in every way, thank you for such a brilliant night.  Wish you were in Australia, would be a regular restaurant for me."
5,5,5,5,"Well deserved two stars, perfect execution, creative and delicious. Just fantastic. The wine list is superb, and not badly priced for NYC, do seek the advice of the sommelier."
5,5,5,5,Excellent Job By the Chef crafting an exciting menu in which each dish progressively was better than the last.Evan did a tremendous Job with the wine and beverage service as well
5,5,5,4,Enjoyed a very inventive and delicious tasting menu dinner at Atera.  The staff all worked together like a well oiled machine.  The service was friendly and unobtrusive and the food was outstanding.
5,5,5,5,"I took my husband here for his birthday. Food and drinks were absolutely amazing! I have a gluten allergy and they were so amazing with it. They gave me a gluten free menu and suggested things to get off my husbands regular menu that could be gluten free. My husband picked a bottle of wine and they couldn鈥檛 find it (not really sure what happened there) but they upgraded the wine and kept it at the original cost. Lastly, we ordered dessert and they still brought a little special treat for his birthday so he got two desserts! It was truly amazing experience and I would definitely recommend if you have some money to spend!"
5,5,5,5,I am from South Africa and this was by far the best steak I have ever experienced. The sommelier was helpful as well.
5,5,5,5,"Food was excellent, service was perfect."
5,5,5,5,Great anniversary dinner! Food was delicious and service was excellent
5,5,5,5,"My colleagues raved about the food, ambience and service for days. Very memorable meal and will be back soon"
5,5,5,5,Great service and the food was outstanding
5,5,5,5,The Wagyu ribeye was absolutely amazing and I always wanted to try it. I was not disappointed with it. However I simply couldn鈥檛 say it was an excellent value because that cost for a steak just simply isn鈥檛 a value.
5,4,5,5,Birthday celebration
4,5,4,4,I have been to Barclay Prime numerous times. However this time our steaks were beyond amazing. Service was great as always. I did notice a few changes on the menu as well as the wines by the glass. I highly recommend for a quick bite in the bar/lounge area or a great sit down dinner date
4,3,5,5,"The service was fantastic. Room and ambiance was excellent too. Unfortunately the food was not at the same level, nor was the value."
5,5,5,5,The ambience from when we first walked in and were seated to the service from Glenn and the food was amazing! Would definitely recommend! It was a surprise celebration and they made the experience for us to be one we will never forget!
5,5,5,5,We had a wonderful experience at this restaurant! The food was delicious and the service was outstanding; we will definitely be making this restaurant a regular spot for dinner dates and meetings.
5,5,5,5,"Great food, beautifully plated, service was excellent"
4,3,5,4,Beautiful decor and ambiance but food was just okay. Chopped salad was over dressed and over sized. I splurged on the Waygu Filet and it was just ok. Creamed spinach was way too salty. Tater tots tasted just like the ore ida ones. I guess I expected more compared to the chain steakhouses. I would have rated Sullivan鈥檚 and Ruth鈥檚 Chris higher than Barclay.  I do have to give a shout out for the service though. Some kind of fabric made its way into my drink cup and they were very gracious about it.
5,5,5,5,It was excellent from the professionalism of the staff and the excellence of the food.  We had a great time.
5,5,5,5,Amazing quality food. Perfect for that special occasion.
3,5,2,5,Great food & atmosphere. Service didn鈥檛 meet expectations.
5,5,5,5,Melissa was our server and she was excellent and fun.
5,5,5,5,"I've been to some of the best steakhouses in the world Peter Luger, Pappas Bros, Berns, Nusrets, Delfriscos, Sparks and Carnevino. I would say that this boutique steakhouse is at the top of my list!"
4,4,4,5,A very good choice in Philly is you're looking for a steakhouse. Wonderfully relaxing atmosphere with terrific service. I come here when I'm in the area.  I'm usually a Tomahawk rib eye guy thought the done in filet is outstanding.
5,5,5,5,Barclay Prime did not disappoint. The attention to details is only second to the absolutely delicious food you are served. The bread popovers were amazing as always and the filet was done to perfection. Make sure to save room for dessert and get the triple cookie with ice cream. Truly all these things make it my favorite place to dine.
5,5,5,5,"This a great restaurant, but it is too dark. I could not see anything."
5,5,5,5,"The food was delicious and service was outstanding. Nice atmosphere and great music in the background. We got there very late the other night due to a family member in the nearby hospital and we were treated wonderful and they didn鈥檛 rush us or make us feel like we were imposing. It was a wonderful dinner, will be back..."
5,5,5,5,"Barclay Prime was fantastic!  The server was great, food and wine was really good and we were happy to be able to hear each other.  It was a perfect night for celebrating our anniversary!"
5,5,5,5,"From the second we checked in for our reservation to the time we left, each and every staff member was absolutely lovely and attentive. We will definitely be dining here again next time we鈥檙e in Philadelphia. The decor is beautiful. It鈥檚 romantic though a bit noisy, but, the seating is plush and the noise didn鈥檛 bother us at all."
4,2,5,4,The overall steak quality dropped a tad.  I'm hoping this was a one time slip as I loved this restaurant.
5,5,5,5,"The service was excellent from the moment we stepped in the door. From the Hostess, to the bar/lounge server and our dining server.  The food was just as good as everything was cooked to perfection as asked.  I have the Wagyu from Japan (A5) and it did not disappoint at all.  They even brought out a slice of cake for my parents as part of the dessert that read Happy 50th Anniversary, which I had noted on the Open Table reservation when I made it.  I cannot wait until the next time I can revisit!"
5,5,5,4,"Amazing steaks, amazing cocktails, incredible whipped potatoes, the only thing that wasn鈥檛 our style was the lighting. It is just so dark in there! But our experience was lovely"
5,5,5,5,"Went here to celebrate my boyfriend passing the PA Bar Exam. The service was beyond excellent and the steak has ruined steak for us, it was so good. Great place to splurge and celebrate the culmination of his hard work!"
5,5,5,5,"My wife and I went to Barclay Prime for our anniversary and the food and service were amazing.  We had the filet, potato gratin, and brussel sprouts.  Our steaks were perfectly seasoned and cooked.  The sides were great too.  The sommelier made a perfect recommendation.  We highly recommend Barclay Prime!"
5,5,5,5,"Always the best, but not cheap!"
5,5,5,5,"Amazing Steakhouse from Stephen Starr with a great interior, classic steaks and a few surprises thrown in.  The delecata squash special was amazing and the desserts are well worth saving room for.  The steak was well cooked and there was an extensive wine and cocktail menu.  Definitely a great spot in Rittenhosue Square."
5,5,5,5,Delicious and conducive to business discussions
5,5,5,4,Consistently excellent. Never had a bad meal. I love it and I'm not a red meat eater.
5,5,5,5,"We sat in the lounge and loved it. It was quiet and our service was excellent. The wagyu filet was probably the best steak I have ever had in my life. The cocktails were delicious, as well. Thanks again to Pavel for taking such good care of me and my husband on our honeymoon!"
5,5,5,5,"Spectacular service, great cocktails and wonderful food.   Don鈥檛 miss the special cheesesteak!"
5,5,5,5,Amazing as always. Best service of anywhere we have gone. Edward is phenomenal.
3,3,5,3,"Excellent server but the meal itself was very average. And when you are throwing down $300 plus for just myself and my husband I would have expected top notch food. We have eaten at so many excellent restaurants in Philly for a way better price tag. We will not be back. (Also, so dark you could hardly see where you are walking. I am only 30 years old so can't blame that on old eyes )"
3,3,3,4,"Not as good as it used to be. We come from out of town to eat year as it is our favorite restaurant and it has been 2 years since our last visit. My steak was not hot and they did not properly season the steak. Typically my plate is also warm and this time it was cold I think they were waiting on my husbands steak since it was larger and mine was done too quickly. I saw a lot of food being sent back that night. Also, it was our anniversary and it was not acknowledged."
5,5,5,5,Dinner at Barclay Prime was outstanding.  The Waygu cheesesteak is a must have! The entire experience from start to finish was first class.
5,5,5,5,"Fabulous experience! Perfect for a special occasion, the food was best to date at any LA restaurant!"
5,5,5,4,"I live in the Washington DC area, and my son is in Marina del Rey.  This is our 3rd time and the restaurant and it never disappoints.   Food is just great.  Love the red beet pappardelle, and the seafood was very good.  Scallop apple is to die for.  I rarely write review and I am a frequent Open Table VIP.  Enough said.  This is Barrique Venice is so worth it."
5,5,5,5,"The food, the service, and the atmosphere were all perfect for our dinner at Barrique. It is always a good sign when a good number of people working in an Italian restaurant are actually italian. Despite being pricey, the food is delicious and is more than your basic bowl of pasta. The beet pasta was beautiful and delicious. The richness was balanced and made the meal feel decadent. We also had the pasta with rabbit ragu. This was actually mine and my husbands favorite."
5,5,5,5,Any occasion is perfect at Barrique
5,3,5,5,I am not sure what to rate them? Appetizer brilliant. Main dish just horrible. I think this a five star restaurant that made an error with the main. We will go back and order the same. I鈥檒l reserve final judgment until then.
5,5,5,5,"This was our second experience at Barrique Venice. Both were exceptional! Barrique is definitely shaping up to be our favorite neighborhood restaurant!  The service was very gracious and the food outstanding. It鈥檚 also a lovely, quaint space.   I love the scallop appetizer. My husband had the prosciutto and burrata appetizer. It was huge, gorgeous and could have been an entree.   My beet pasta with Quail Ragu was excellent but the surprise hit of the evening was he smoked duck breast on carmelized onions.  We can鈥檛 wait to try to duplicate it at home."
5,5,5,5,"The food is so rich, I can't describe it. It's certainly the best Italian restaurant I've ever been!"
5,5,5,5,Absolutely love the atmosphere.  the food is amazing.  the service is extraordinary.  i would celebrate any occasion here always
5,5,5,5,"Every dish was more incredible and delicious then the next. Just listen to your server and go with it. You will be amazed. The octopus, the homemade pastas, the fillet, the atmosphere, the service and staff absolutely divine!!! Such a charming gem of a restaurant. Can鈥檛 wait to go back!"
4,4,5,4,Lovely evening. Excellent food and service.
5,5,5,5,"On honeymoon with my husband and made late booking for here after watching the sunset at a local roof bar. The service was friendly, warm and informative. Food was excellent- even portion size was more European than American so don鈥檛 expect to take away leftovers. Dessert was amazing too. Only negative was white wine choice was less than 15 but had 3.5 pages for red wine (50+) - definitely worth a visit"
5,5,5,5,"Very nice place for a date. My only issue is the lack of AC on the second floor. It was a warm 鈥淪anta Ana Winds鈥 night, and the restaurant does not have AC. We sat on the second floor inside. Next time under the same conditions ask for one of the tables outside on the deck/patio. Food was outstanding, service was wonderful and the selection great."
5,5,5,5,"One of the best, if not the best, Italian dinners I鈥檝e ever had. Everything was a 10/10."
4,5,4,4,"Great atmosphere. Friendly, informative staff.The owner was great and engaged with the patrons.The food and the wine choices were fabulous. Everything from the caprese salad with heirloom tomatoes to the to the pink vodka fettuccine special.A very enjoyable evening."
5,5,5,5,"Between the ambiance, food, and service, I couldn鈥檛 imagine a better experience. First impressions are always the lasting ones and this restaurant made a strong one as you drive down Main Street looking for the restaurant (built in a house) that鈥檚 nestled between Venice鈥檚 apartments and houses. The lighting and fixtures simply just fit the style of food and familial atmosphere . Authentic pasta dishes with perfect portions. Servers were very accommodating and immediately (without) question righted a mistaken order.  I would definitely recommend this restaurant to my friends and others who鈥檇 be willing to listen."
5,5,5,4,"We loved this place. The food is unique, and exquisite. It feels like there is a lot of skill and Love put into these dishes. Wine selection is exceptional, but expensive. Treat yourself."
5,5,5,5,This was my second visit to this excellent restaurant. The fresh pasta is truly delicious.
5,5,5,5,"Beautiful spot with amazing and unique food. We had a caprese starter and quail ragu beet pasta and black truffle ravioli. Incredible service and delicious red wine. Best part is it is an intimate setting where you can hear who you鈥檙e sitting across from still. Charming, will return!"
5,5,5,5,"In town for our Anniversary and we were not disappointed for our first night out. Michael, our waiter, was outstanding and the food was delicious."
5,5,5,5,"Inventive, interesting food that celebrates Italian cuisine in a new way."
5,5,4,5,Amazing food and ambiance. 10/10
5,5,5,5,"Excellent fresh pasta, fantastic wine selection, and great service! I love this place and I definitely recommend!"
